mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__criterion,param_tree__max_depth,param_tree__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
16.25300588607788,9.511931307177617,0.17082719802856444,0.04225830109389761,entropy,30,5,"{'tree__criterion': 'entropy', 'tree__max_depth': 30, 'tree__min_samples_leaf': 5}",0.5574615501596579,0.5600296090831116,0.5719834658650677,0.5631919403150227,0.5632120631961748,0.5631757257238069,0.004901585906941128,5
16.004039525985718,5.3652938636950775,0.18419342041015624,0.07187999355840824,entropy,30,20,"{'tree__criterion': 'entropy', 'tree__max_depth': 30, 'tree__min_samples_leaf': 20}",0.532087586019802,0.5292153932364734,0.5351324504594601,0.5305661795099544,0.5313820591586457,0.5316767336768671,0.0019742916968899923,23
17.334605073928834,4.439727802900197,0.17165689468383788,0.0848672088507773,entropy,30,50,"{'tree__criterion': 'entropy', 'tree__max_depth': 30, 'tree__min_samples_leaf': 50}",0.5067909816480791,0.5065230052104289,0.5108093724519968,0.5104236553977112,0.5070524171328158,0.5083198863682064,0.0018865945453093076,33
17.324791765213014,3.4981424093618556,0.19504742622375487,0.09611271601094652,entropy,40,1,"{'tree__criterion': 'entropy', 'tree__max_depth': 40, 'tree__min_samples_leaf': 1}",0.5517685598130302,0.5678544763305199,0.570255954719973,0.5599438014547319,0.5589233577786664,0.5617492300193843,0.006640742453102192,10
20.792691040039063,3.682180975327437,0.20633258819580078,0.08373001179524714,entropy,40,5,"{'tree__criterion': 'entropy', 'tree__max_depth': 40, 'tree__min_samples_leaf': 5}",0.5557292615990124,0.5614739463432479,0.5708594628371441,0.5609937559443962,0.5629778843249099,0.5624068622097421,0.004883238164781673,7
14.195124244689941,6.673280178832695,0.15817670822143554,0.09035445804669096,entropy,40,20,"{'tree__criterion': 'entropy', 'tree__max_depth': 40, 'tree__min_samples_leaf': 20}",0.5324525938686295,0.5290361143219198,0.5350495601040773,0.5308405838486286,0.5310924807751307,0.5316942665836771,0.001999487369168227,21
19.40314111709595,2.617017305359438,0.21331558227539063,0.025617947804699753,entropy,40,50,"{'tree__criterion': 'entropy', 'tree__max_depth': 40, 'tree__min_samples_leaf': 50}",0.5067909816480791,0.5065230052104289,0.5108093724519968,0.5104236553977112,0.5070524171328158,0.5083198863682064,0.0018865945453093076,33
20.598675107955934,1.9958489332023,0.17780637741088867,0.05520362560649354,entropy,,1,"{'tree__criterion': 'entropy', 'tree__max_depth': None, 'tree__min_samples_leaf': 1}",0.5523629168951827,0.5700818768553457,0.5689253991956582,0.561173599595268,0.5590374029668086,0.5623162391016526,0.006559133193590399,8
19.6961462020874,1.731157845196059,0.16461563110351562,0.0369464319288488,entropy,,5,"{'tree__criterion': 'entropy', 'tree__max_depth': None, 'tree__min_samples_leaf': 5}",0.5554563963248731,0.5613407790849751,0.5707450946029249,0.5614746744267136,0.5623437744269588,0.5622721437732892,0.004893952135726827,9
14.771514654159546,3.088219936542233,0.128059720993042,0.04077829437156359,entropy,,20,"{'tree__criterion': 'entropy', 'tree__max_depth': None, 'tree__min_samples_leaf': 20}",0.5324525938686295,0.5290361143219198,0.5350495601040773,0.5308405838486286,0.5310924807751307,0.5316942665836771,0.001999487369168227,21
12.948977756500245,1.18835568960588,0.1260303497314453,0.041539156299404946,entropy,,50,"{'tree__criterion': 'entropy', 'tree__max_depth': None, 'tree__min_samples_leaf': 50}",0.5067909816480791,0.5065230052104289,0.5108093724519968,0.5104236553977112,0.5070524171328158,0.5083198863682064,0.0018865945453093076,33
